07-November,164,135.0,110.0,106,100.0,138.0,118.0
08-November,110,140.0,116.0,79,101.0,153.0,145.0
09-November,89,118.0,87.0,103,105.0,104.0,109.0
10-November,132,126.0,100.0,131,119.0,163.0,110.0
11-November,130,106.0,107.0,126,142.0,143.0,116.0
12-November,112,122.0,128.0,136,113.0,92.0,91.0
13-November,116,148.0,120.0,116,100.0,92.0,122.0
14-November,139,135.0,131.0,114,130.0,135.0,105.0
15-November,148,134.0,124.0,115,105.0,159.0,138.0
16-November,158,142.0,117.0,121,115.0,117.0,129.0
17-November,164,143.0,136.0,91,92.0,127.0,117.0
18-November,112,120.0,122.0,122,130.0,114.0,90.0
19-November,96,145.0,131.0,104,86.0,96.0,99.0
20-November,116,131.0,115.0,89,112.0,87.0,126.0
21-November,138,129.0,141.0,108,113.0,138.0,139.0
22-November,129,138.0,165.0,150,135.0,129.0,106.0
23-November,110,128.0,107.0,144,122.0,141.0,131.0
24-November,122,142.0,120.0,120,145.0,144.0,84.0
25-November,115,94.0,129.0,110,141.0,140.0,92.0
26-November,119,98.0,126.0,107,119.0,86.0,108.0
27-November,117,155.0,147.0,98,98.0,116.0,120.0
28-November,118,99.0,132.0,116,152.0,161.0,136.0
29-November,122,139.0,119.0,119,122.0,140.0,97.0
30-November,131,148.0,118.0,122,129.0,139.0,129.0
01-December,142,130.0,110.0,99,118.0,144.0,114.0
02-December,117,120.0,134.0,114,105.0,138.0,107.0
03-December,123,141.0,118.0,117,111.0,97.0,123.0
04-December,96,134.0,144.0,83,112.0,115.0,125.0
05-December,137,106.0,140.0,100,124.0,132.0,98.0
06-December,104,112.0,129.0,136,129.0,122.0,138.0
07-December,137,112.0,92.0,109,120.0,153.0,96.0
08-December,99,76.0,119.0,104,128.0,103.0,105.0
09-December,98,100.0,116.0,95,122.0,96.0,102.0
10-December,99,91.0,150.0,110,117.0,95.0,109.0
11-December,119,105.0,146.0,87,108.0,104.0,102.0
12-December,126,134.0,141.0,109,128.0,126.0,93.0
13-December,119,131.0,111.0,137,120.0,89.0,81.0
